,triwulan,ekspor,ibm,ibb,kurs,m2,ntl,no2,ndvi,gti
0,2012Q1,28181.56287949141,3326.175047274383,41154.40419377502,9100.079365,2595.1793188576535,2.391196783,1379696666666666.8,0.6132409358,48.4824423337245
1,2012Q2,27095.041148158365,3507.096582870271,45089.86239012981,9305.626984,2697.4499561729954,4.490670209,1203500000000000.0,0.7382674118,48.09756149079551
2,2012Q3,28035.844189522035,3632.7546212986426,44181.09571643034,9507.594338,2747.7474439798334,4.935157631,1416143333333333.2,0.5586166786,41.3120902017364
3,2012Q4,28304.461838570416,4570.777348183344,45570.203029046505,9623.658417666667,2842.255529114797,4.770642127,1379930000000000.0,0.5742738455,42.91714272646525
4,2013Q1,26862.549809680797,4373.090251084357,42475.98537081465,9694.468128666667,2886.397893422198,5.066753938,1423010000000000.0,0.683611836,42.50876126518937
5,2013Q2,26512.568460487535,4928.366846561004,42122.96323083891,9788.826953999998,2968.022100723345,5.495300281,1199720000000000.0,0.7460508045,51.34462425921729
6,2013Q3,28639.451867567994,5186.197232973623,48644.96761012101,10664.043133333333,3063.737993303284,6.173172613,1161636666666666.8,0.6367379765,53.7532514929806
7,2013Q4,36963.799942426696,6079.842066981226,56803.97047350869,11689.03492,3117.3683686040445,6.131166283,1101460333333333.4,0.5664318676,56.09377803924404
8,2014Q1,43372.87308849102,5187.13182243097,50160.74714955346,11847.266666666668,3063.159942073429,6.072999442,1327300000000000.0,0.7304610466,53.63363271352426
9,2014Q2,42536.00813479136,6377.98801913181,54376.46544916236,11618.104496666667,3178.69562479643,6.027676184,1209530000000000.0,0.7460581614,54.30173997150576
10,2014Q3,36639.70316110236,6188.697475913516,50640.71935142478,11762.164986666668,3264.446567595256,6.032964919,1299420000000000.0,0.5977017267,51.8034014263764
11,2014Q4,40229.55346563776,6658.968146827028,51962.45434055304,12247.15176,3410.452447543474,6.353136673,1290280000000000.0,0.4804393371,51.626853674252
12,2015Q1,44424.04486732479,4359.572938081561,43879.84552356361,12798.585176666667,3389.3464281412143,6.316577706,1341073333333333.2,0.7304817188,52.314846185033
13,2015Q2,42430.42466419475,7124.702679473922,44227.818254432044,13133.842106666669,3434.699148280574,6.081179013,1293216666666666.8,0.7460461095,53.5333074678257
14,2015Q3,35939.9226939343,5107.150992611988,38448.829953232125,13850.878236666666,3492.0102262224923,6.735735938,1250960000000000.0,0.5585778541,67.0293588196926
15,2015Q4,36464.00178981501,4626.885207627095,38214.461752017756,13774.342856666668,3521.2843597672054,7.055922623,1192836666666666.8,0.4960193536,87.4275914004769
16,2016Q1,47025.54497027612,4157.277134877545,35885.31367395622,13532.630953333333,3511.4951710873543,6.43932291,1421556666666666.8,0.7304389794,73.40316493703887
17,2016Q2,46109.83807248753,3990.788881814963,37524.30700996765,13318.184196666667,3573.0614368272086,6.533781542,1244213333333333.2,0.7617086387,76.42643535314058
18,2016Q3,34921.39739908786,3877.835549985533,35519.68969456946,13134.020543333332,3615.7737123770567,7.098302179,1291316666666666.8,0.6835796511,86.09602545530299
19,2016Q4,39700.05211088822,4664.641536980576,42728.92977742351,13248.468256666667,3689.448898197985,7.130104264,1248330000000000.0,0.6289446388,93.56146500506571
20,2017Q1,39561.618998942744,4540.38743346559,42074.40991158272,13348.352133333334,3709.7277539795273,7.126107012,1458256666666666.8,0.6835468713,86.16113088973798
21,2017Q2,39738.52235320166,4597.501615582525,38840.886016678196,13309.32963,3813.426573419927,7.087197348,1244363333333333.2,0.7382544246,83.4446618915505
22,2017Q3,44740.70073932812,4696.793141605814,45904.443827151306,13329.129033333333,3850.176567544702,6.807334778,1286276666666666.8,0.5976875987,74.21984949923016
23,2017Q4,41708.696303782446,4891.016862559947,47339.888503200425,13536.524723333334,3923.472490875681,7.26581,1255786666666666.8,0.6132667269,73.89803639591058
24,2018Q1,43117.281885433156,4838.288639495465,45737.68181279259,13576.233993333333,3909.967782299866,7.560224756,1434413333333333.2,0.7071196779,69.77928415838163
25,2018Q2,40529.08535608269,5164.566513580028,50607.78520124867,13966.26508,3927.1128508045003,7.380567054,1264993333333333.2,0.7148004958,65.69581695806126
26,2018Q3,47837.34378137869,6122.380280059986,58728.5282891814,14614.36466,3955.2881311563456,7.573737823,1362163333333333.2,0.5507870127,77.5423416537385
27,2018Q4,46180.89033995197,5435.807953542899,58101.034673877715,14790.89136,4039.417251351724,7.931745287,1241680000000000.0,0.5352555185,77.1982321307659
28,2019Q1,44287.419639523585,4918.478295812521,46373.77585735754,14136.448963333334,4010.429293522842,7.621511862,1467513333333333.2,0.7304523727,76.2113271276155
29,2019Q2,42599.23529465821,4856.771102430493,47309.50371784596,14253.973933333333,4102.909739374499,7.596232002,1253100000000000.0,0.7461171951,71.01179804765046
30,2019Q3,46090.427879684605,5231.03007999823,45437.154190242334,14132.351243333333,4183.230125998155,8.174586224,1258426666666666.8,0.5429856353,85.01327588003767
31,2019Q4,42800.393226955144,5110.657637577555,46718.21368002873,14067.9113,4235.405315174938,8.517564125,1291973333333333.2,0.4960547686,76.67606802744648
32,2020Q1,51503.12143025664,5122.751240422265,44321.18052804963,14234.318323333333,4310.652766017164,8.595483246,1441696666666666.8,0.7382629209,78.81709866478823
33,2020Q2,35984.188730288835,4628.348973699411,36647.31286594467,14989.859279999999,4424.270965801265,8.327344487,1243403333333333.2,0.7460448732,77.244365492299
34,2020Q3,39670.56897476316,4613.858177760659,37143.535486254514,14718.290076666666,4625.291499622922,7.996050136,1286133333333333.2,0.6210670485,80.06508483257467
35,2020Q4,39665.730955020415,3918.9446005502004,38852.07510498325,14386.346190000002,4696.359144930943,8.70542419,1191086666666666.8,0.6288904532,81.12059270286206
36,2021Q1,41968.15055951461,4016.957178810504,42329.576089477225,14173.799493333334,4648.599563156605,8.668301157,1466473333333333.2,0.6602225307,79.29128953542657
37,2021Q2,46574.93636167901,3998.932463888478,49045.98377616395,14406.53519,4724.317135910238,8.404243426,1245966666666666.8,0.7226394074,80.236784189549
38,2021Q3,47844.616850648985,4213.170954990854,47480.53979642051,14388.617063333333,4802.942938699503,8.167126875,1239056666666666.8,0.6132673078,90.0646063028175
39,2021Q4,49976.70369586719,4924.752467660497,54801.45758947973,14263.623856666667,5044.184747544175,8.915496001,1301943333333333.2,0.5742413036,83.48886069332839
40,2022Q1,48263.34620845433,4198.183695621033,54925.37111447095,14344.97921,5040.29605387981,8.868681917,1377770000000000.0,0.6991979871,93.6510358425522
41,2022Q2,51568.77929078488,4304.018570749593,62167.76364530561,14555.104983333333,5095.525263526012,8.704282115,1293716666666666.8,0.7227105148,89.64240581161836
42,2022Q3,52936.75509451666,6292.760629122425,61154.286641530445,14935.597066666667,5038.851201436019,8.711523649,1424050000000000.0,0.6445666889,95.42179480662686
43,2022Q4,52168.48575581393,4693.046432125592,55869.98447614287,15563.734486666666,5272.885218247858,9.403819912,1335703333333333.2,0.5507420404,92.06335117653956
44,2023Q1,45330.16396486833,4533.2362749179365,47321.00396589882,15240.650796666667,5185.9869254280375,9.415501788,1421683333333333.2,0.6679343559,92.09788023875068
45,2023Q2,40090.73117591486,5108.249791103073,46474.59123425411,14869.857320000001,5198.491382488635,9.309802194,1415540000000000.0,0.7304813198,89.33345496920758
46,2023Q3,44190.28004240045,5583.234615782267,47300.115886418076,15213.028863333333,5181.663534726004,9.829415567,1336936666666666.8,0.5664239982,90.6578683831287
47,2023Q4,56036.10168594365,5555.529160344593,49746.9770397465,15624.00167,5292.826779976295,9.669922772,1293390000000000.0,0.5039063303,86.2207613956211
48,2024Q1,55231.58520521628,4653.086905618206,47988.902377945866,15659.587786666665,5328.81678443233,9.712787873,1676986666666666.8,0.7461242974,76.50161727530804
49,2024Q2,51970.53649460962,4185.110191344414,50352.75682325951,16171.111203333334,5421.5349687518765,9.311865079,1605556666666666.8,0.7148739745,72.20267689329576
50,2024Q3,60187.46106213475,5000.109280991723,59041.025924522735,15798.694883333335,5416.642109482639,8.819769858,1330940000000000.0,0.5819587814,75.35831843908743
51,2024Q4,57739.1889601983,5518.109949202328,59862.020570547276,15792.399276666669,5506.162366500532,9.720641086,1312343333333333.2,0.5821685337,70.68137862783963
52,2025Q1,55444.797175507,5191.030512906261,55976.763631119116,16352.016666666668,5588.496694876259,11.04608426,1337553333333333.2,0.6757247643,70.20414588216177
53,2025Q2,74559.5501523339,5663.121721863702,58551.42931022132,16523.763333333332,5692.66939925183,10.86395735,1166666666666666.8,0.7460414997,71.63569
